Top pages,Clicks,Impressions,CTR,Position
https://championnatavionpapier.fr/,402,3873,10.38%,4.4
https://championnatavionpapier.fr/tuto-avion-en-papier-facile-planeur/,184,20241,0.91%,6.73
https://championnatavionpapier.fr/ressources-avions-papier/,15,1059,1.42%,6.34
https://championnatavionpapier.fr/plier-avion-en-papier-nakamura/,7,229,3.06%,5.83
https://championnatavionpapier.fr/plier-avion-en-papier-fleche-classique/,6,861,0.7%,6.48
https://championnatavionpapier.fr/tuto-avion-en-papier-le-faucon/,3,65,4.62%,6.35
https://championnatavionpapier.fr/contact-faq-2-2/,2,113,1.77%,7.67
https://championnatavionpapier.fr/contact-faq/,1,101,0.99%,13.06
https://championnatavionpapier.fr/tuto/,0,27,0%,4.93
https://championnatavionpapier.fr/blog/,0,12,0%,7.58
https://championnatavionpapier.fr/tag/plier-son-avion/,0,7,0%,7.57
https://championnatavionpapier.fr/tag/technique/,0,4,0%,4.75
https://championnatavionpapier.fr/tag/facile/,0,4,0%,6
https://championnatavionpapier.fr/tag/aerodynamique/,0,2,0%,7.5
https://championnatavionpapier.fr/tag/distance/,0,2,0%,8
https://championnatavionpapier.fr/tag/performance/,0,1,0%,9