Top queries,Clicks,Impressions,CTR,Position
championnat du monde avion en papier,31,58,53.45%,1.07
avion en papier planeur,26,1681,1.55%,5.56
concours avion en papier,18,87,20.69%,2.17
tuto avion en papier,15,4453,0.34%,7.41
avion papier planeur,14,912,1.54%,3.42
planeur en papier,10,1369,0.73%,4.93
record du monde avion en papier,8,79,10.13%,2.15
concours d'avion en papier,8,30,26.67%,2.67
tutoriel avion en papier,6,209,2.87%,6.28
tuto avion papier,5,637,0.78%,6.18
avion papier tuto,5,346,1.45%,6.61
planeur avion papier,4,144,2.78%,4.06
avion papier rond,4,139,2.88%,7.29
avion en papier rond,3,243,1.23%,6.58
avions en papier tuto,3,130,2.31%,5.46
tuto planeur en papier,3,70,4.29%,4.7
pliage avion papier planeur,3,64,4.69%,4.03
tuto avion en papier facile,2,694,0.29%,6.65
avion planeur papier,2,215,0.93%,4.85
avion en papier planeur facile,2,116,1.72%,4.28
avion en papier rond tuto,2,28,7.14%,4.29
avion papier facile,1,337,0.3%,9.04
tuto avion,1,184,0.54%,7.85
planeur papier,1,168,0.6%,4.46
avion en papier record du monde 2025,1,120,0.83%,7.05
tuto pour faire des avions en papier,1,118,0.85%,6.88
tuto avion en papier planeur,1,106,0.94%,3.85
avion en papier record du monde 2024,1,89,1.12%,4.76
avion en papier tuto facile,1,71,1.41%,6.72
avion en papier,1,71,1.41%,19
tuto avions en papier,1,68,1.47%,5.66
planeur avion en papier facile,1,59,1.69%,3.97
faire un planeur en papier,1,50,2%,4.92
tutoriel avion papier,1,43,2.33%,5.67
pliage avion planeur,1,34,2.94%,5.09
avion rond papier,1,32,3.12%,5.41
avion en papier record du monde,1,19,5.26%,8.68
avion papier circulaire,1,17,5.88%,9.35
avion en papier champion du monde,1,13,7.69%,5.92
avion en papier pro,1,10,10%,11
tuto pour faire avion en papier,1,9,11.11%,5.44
l'avion en papier qui vole le plus longtemps du monde,1,8,12.5%,1.25
pliage avion en papier planeur,1,8,12.5%,3.38
lanceur avion en papier,1,4,25%,6.75
comment faire un lanceur d'avion en papier,1,2,50%,23.5
avion facile à faire,1,1,100%,9
avion en papier tuto,0,494,0%,6.85
avion en papier facile,0,199,0%,9.86
tuto avion papier facile,0,196,0%,7.08
faire un avion en papier facile,0,158,0%,7.72
comment faire un planeur en papier,0,129,0%,6.26
comment faire un avion en papier,0,105,0%,15.3
avion planeur en papier,0,95,0%,5.21
comment faire un avion en papier planeur,0,81,0%,4.84
avion tuto,0,76,0%,6.5
tuto d'avion en papier,0,74,0%,6.55
paper airplane competition 2026,0,66,0%,6.2
planeur en papier facile,0,63,0%,4.32
planeur avion en papier,0,60,0%,4.78
faire avion en papier facile,0,58,0%,7.12
avion papier simple,0,57,0%,7.3
avion en papier tutoriel,0,52,0%,7.35
modele avion papier planeur,0,49,0%,4.14
coupe du monde en papier,0,47,0%,8.85
avion rond en papier,0,46,0%,5.74
tuto avion de papier,0,44,0%,5.93
tuto faire un avion en papier,0,43,0%,7.56
etape avion en papier,0,40,0%,5.92
tuto avion facile,0,40,0%,6.4
lance avion en papier,0,40,0%,7.9
avion de papier facile,0,40,0%,8.12
faire un avion en papier,0,39,0%,13.49
avion en papier facile et rapide,0,37,0%,8.35
avion en papier simple,0,36,0%,12.36
comment lancer un avion en papier,0,28,0%,7.68
tuto pour faire un avion en papier,0,28,0%,8.75
comment faire des avions en papier,0,28,0%,20.04
avions en papier facile,0,27,0%,8.33
modèle avion papier facile,0,26,0%,9.19
comment faire un avion en papier facile,0,26,0%,12.54
tuto pour avion en papier,0,25,0%,7.48
comment faire un planeur,0,24,0%,7.42
avion facile,0,24,0%,9.54
tuto avion en papier rapide,0,23,0%,7.22
modèle avion en papier facile,0,23,0%,8.48
pliage avion en papier facile,0,22,0%,7.95
lancer avion,0,21,0%,4.86
faire avion en papier,0,20,0%,4.85
avion papier tuto facile,0,19,0%,4.68
avion en.papier tuto,0,19,0%,7.42
avion en papier facile à faire,0,19,0%,7.95
avion en papier cylindrique,0,19,0%,8.89
avion en papier le plus rapide du monde,0,18,0%,2.44
avion en papier qui vole le plus loin du monde,0,18,0%,2.78
modèle d'avion en papier facile,0,18,0%,9.83
avion en papier etape,0,17,0%,6.71
nakamura lock,0,17,0%,7.18
avion fleche,0,17,0%,9.12
avion papier,0,16,0%,21.69
tuto comment faire un avion en papier,0,15,0%,9.33
avion facile en papier,0,15,0%,11.4
tuto d'avion,0,14,0%,7.79
comment faire avion papier,0,14,0%,22.29
record du monde avion en papier 2023,0,13,0%,4.85
avion en papier rapide,0,13,0%,7.54
origami avion planeur,0,13,0%,10.23
plan avion papier,0,13,0%,10.62
schéma avion en papier,0,12,0%,7.75
modele avion papier simple,0,12,0%,7.92
avions en papier,0,12,0%,17.17
tuto avion papier planeur,0,11,0%,3.45
comment faire des avions en papier facile,0,11,0%,10.18
paper airplane competition near me,0,10,0%,4.8
comment fabriquer un avion en papier,0,10,0%,13.6
comment faire avion en papier,0,10,0%,14.3
fabrication avion papier,0,8,0%,2.5
lance avion,0,8,0%,9.25
fabrication avion en papier,0,7,0%,1.14
faire un avion en papier 10000 km,0,7,0%,3.57
avion en papier pro planeur,0,7,0%,4
tuto avion en papier simple,0,7,0%,6.43
tutoriel avion en papier facile,0,7,0%,6.71
avion papier record du monde,0,7,0%,7.29
faire des avions en papier,0,7,0%,13.14
comment faire une coupe du monde en papier,0,7,0%,13.29
avion rond,0,7,0%,14.14
maquette avion en papier,0,7,0%,19.43
comment faire une avion en papier,0,7,0%,22.86
pliage planeur en papier,0,6,0%,6.5
avion en papier record du monde 2026,0,6,0%,6.67
avion papier cercle,0,6,0%,7.67
comment fabriquer avion en papier,0,6,0%,10.33
comment dessiner un avion en papier,0,6,0%,17.5
pliage avion en papier,0,6,0%,21.67
comment fair un avion en papier,0,6,0%,33.17
étape avion en papier,0,5,0%,7.4
origami avion,0,5,0%,10.4
etape avion en papier pro,0,5,0%,12.6
avion de papier,0,5,0%,13.6
origami planeur,0,5,0%,13.8
avion en papier plan,0,5,0%,15.6
avion à papier,0,5,0%,19.4
comment on fait un avion en papier,0,5,0%,20
comment faire des avion en papier,0,5,0%,24
avion simple,0,5,0%,27.8
model avion papier,0,5,0%,34
championnat avion en papier,0,4,0%,1.25
un avion en papier facile,0,4,0%,6.75
comment fait-on un avion en papier,0,4,0%,8.75
faire des avions en papier facile,0,4,0%,9.5
comment on fait les avions en papier,0,4,0%,11.5
comment faire un avion papier,0,4,0%,18
comment faire les avions en papier,0,4,0%,20
maquette avion papier,0,4,0%,23.5
dessin d un avion facile,0,3,0%,3
meilleur avion en papier du monde,0,3,0%,3.67
comment plier un avion en papier,0,3,0%,4
le meilleur avion en papier du monde,0,3,0%,4.67
etape pour faire un avion en papier,0,3,0%,6
avion feuille a4,0,3,0%,6.33
planeur rond en papier,0,3,0%,6.67
avion en papier classique,0,3,0%,7
technique avion en papier,0,3,0%,7
comment faire avion en papier facile,0,3,0%,7.33
record du monde avion papier,0,3,0%,7.33
tuto pliage avion papier,0,3,0%,8.67
avion en papier complexe,0,3,0%,9.33
comment faire un avion de papier,0,3,0%,9.33
comment faire un avion en papier simple,0,3,0%,9.33
lanceur d'avion en papier,0,3,0%,9.67
pliage avion papier facile,0,3,0%,11.67
avions papier facile,0,3,0%,12.33
modèle avion en papier,0,3,0%,18.33
mini avion en papier,0,3,0%,18.67
faire avion papier,0,3,0%,21.67
modèle d'avion en papier,0,3,0%,22.33
plier avion papier,0,3,0%,22.33
modele avion en papier,0,3,0%,23.67
fabriquer un avion en papier,0,3,0%,25.33
plan avion en papier,0,3,0%,26.33
modèle avion papier,0,3,0%,28
avion papier pliage,0,3,0%,30.33
model avion en papier,0,3,0%,36.67
en papier avion,0,3,0%,42.67
quel est le meilleur avion en papier du monde,0,2,0%,2.5
avion en papier qui vole longtemps et vite,0,2,0%,3
lavion en papier qui vole le plus longtemps du monde,0,2,0%,3
avion en papier planeur rond,0,2,0%,4
faire un avion avec une feuille de papier,0,2,0%,4
tuto tuto avion en papier,0,2,0%,4
avion de chasse papier facile,0,2,0%,4.5
avion en papier record,0,2,0%,4.5
dessin avion en papier facile,0,2,0%,4.5
origami avion en papier,0,2,0%,4.5
avion,0,2,0%,6
comment faire l'avion en papier,0,2,0%,6.5
comment faire un avion en papier facilement,0,2,0%,6.5
pliage avion en papier simple,0,2,0%,6.5
lance en papier,0,2,0%,7
comment on fait un avion en papier facile,0,2,0%,7.5
papier planer,0,2,0%,7.5
étape pour faire un avion en papier,0,2,0%,7.5
avion en papier qui vole,0,2,0%,9
faire avion papier facile,0,2,0%,9
planeur,0,2,0%,9
avion papier cylindre,0,2,0%,9.5
fusée en papier qui vole,0,2,0%,10
origami avion facile,0,2,0%,10
modèle pour faire un avion en papier,0,2,0%,10.5
avion pliage papier,0,2,0%,11
avion en.papier facile,0,2,0%,13
les avions en papier,0,2,0%,14
avion en papier qui vole longtemps,0,2,0%,14.5
avion simple en papier,0,2,0%,14.5
comment faire un avion en papier qui vole bien,0,2,0%,18.5
comment fair des avion en papier,0,2,0%,19.5
construire un avion en papier,0,2,0%,22.5
pliage avion papier,0,2,0%,23
plier un avion en papier,0,2,0%,23.5
pliage avion facile,0,2,0%,24.5
avion en papier dessin tuto,0,2,0%,28.5
patron avion papier,0,2,0%,29.5
plan d'avion en papier,0,2,0%,29.5
comment faire en papier un avion,0,2,0%,36
gabarit avion à imprimer,0,2,0%,40
planer avion,0,2,0%,42
für anfänger,0,1,0%,1
l'avion en papier le plus rapide du monde,0,1,0%,1
meilleur avion en papier planeur du monde,0,1,0%,1
papier volant,0,1,0%,1
pliage,0,1,0%,1
plié,0,1,0%,1
record avion en papier,0,1,0%,1
tuto avion papier qui vole loin,0,1,0%,1
avion en papier qui vole 100m,0,1,0%,2
avion en papier super facile,0,1,0%,2
comment faire le meilleur avion en papier du monde,0,1,0%,2
comment faire une enveloppe avec une feuille a4,0,1,0%,2
origamie avion,0,1,0%,2
avion en papier qui vole 500 mètres,0,1,0%,3
avion en papier world record,0,1,0%,3
avion papier qui vole loin,0,1,0%,3
comment fabriquer l'avion,0,1,0%,3
comment le faire,0,1,0%,3
comment plier une feuille a4 pour mettre dans une enveloppe carrée,0,1,0%,3
dessin avion facile maternelle,0,1,0%,3
le meilleur avion en papier,0,1,0%,3
meilleur avion en papier,0,1,0%,3
quel est le meilleur avion en papier,0,1,0%,3
un planeur,0,1,0%,3
avion en papier de combat,0,1,0%,4
comment faire un avion en papier facile et qui vole bien,0,1,0%,4
comment faire un avion en papier record du monde,0,1,0%,4
des avions en papier,0,1,0%,4
dessin d'un avion facile,0,1,0%,4
dessin de avion facile,0,1,0%,4
faire un avion en papier qui vole,0,1,0%,4
plan avion en papier planeur,0,1,0%,4
pliage d'avion,0,1,0%,4
pliage feuille avion,0,1,0%,4
tuto avion en papier qui vole bien,0,1,0%,4
comment plier une feuille en enveloppe,0,1,0%,5
avion en papier pliage,0,1,0%,6
facile avion en papier facile,0,1,0%,6
schema avion papier,0,1,0%,6
comment fabriquer des avions en papier,0,1,0%,7
des avion,0,1,0%,7
avion en papier 2 plis,0,1,0%,8
avion en papier simple et qui vole,0,1,0%,8
avion papier pro,0,1,0%,8
comment faire un avion,0,1,0%,8
comment faire un avion en papier qui vole,0,1,0%,8
dessin d'un avion en papier,0,1,0%,8
origami avion de chasse,0,1,0%,8
paper plane tutorial,0,1,0%,8
plier un avion,0,1,0%,8
plier un classique,0,1,0%,8
tuto comment faire des avions en papier,0,1,0%,8
comment créer un avion en papier,0,1,0%,9
comment faire l'avion,0,1,0%,9
comment faire un avion en papier tuto,0,1,0%,9
comment faire un avion en papier?,0,1,0%,9
dessin planeur facile,0,1,0%,9
lanceur d'avion en papier sans élastique,0,1,0%,9
planeur origami,0,1,0%,9
avion en papier comment faire,0,1,0%,10
avion faucon,0,1,0%,10
avion lancer,0,1,0%,10
avion qui vole loin,0,1,0%,10
comment fabriquer un avion,0,1,0%,10
comment faire un avion en papier étape par étape,0,1,0%,10
meilleur pliage avion papier,0,1,0%,10
vidéo avion en papier facile,0,1,0%,11
avion planeur origami,0,1,0%,12
faire le meilleur avion en papier,0,1,0%,13
avion en papier qui vole loin,0,1,0%,14
comment faire un avion avec une feuille de papier,0,1,0%,14
pliage a4,0,1,0%,14
avion planeur,0,1,0%,16
fabriquer avion en papier,0,1,0%,16
avion papier plan,0,1,0%,17
fabriquer des avions en papier,0,1,0%,17
faire un avion papier,0,1,0%,17
faire des avion en papier,0,1,0%,18
avion aile circulaire,0,1,0%,21
avec des photo,0,1,0%,22
avion en papier modele,0,1,0%,22
comment fabriquer avion papier,0,1,0%,22
fair un avion en papier,0,1,0%,23
faire un avion en papier feuille a4,0,1,0%,23
faire une avion en papier,0,1,0%,23
fleche avion,0,1,0%,23
comment faire un planeur en carton qui vole longtemps,0,1,0%,25
avion papier logo,0,1,0%,26
comment on fait des avions en papier,0,1,0%,27
avion rapide,0,1,0%,28
un avion en papier,0,1,0%,29
pliage papier avion,0,1,0%,31
complexe sportif daniel colombier,0,1,0%,32
petit avion en papier,0,1,0%,33
avion en papier a imprimer,0,1,0%,34
avion on papier,0,1,0%,35
avions de papier,0,1,0%,36
modele avion papier,0,1,0%,36
pliage avion en papier a4,0,1,0%,36
pliage d'un avion en papier,0,1,0%,36
dessin facile avion en papier,0,1,0%,38
avion en papier dessin facile,0,1,0%,39
dessin avion en papier,0,1,0%,43
construire des avions en papier,0,1,0%,45
maquette avion papier à imprimer gratuit,0,1,0%,45
comen fer un avion en papier,0,1,0%,46
dessiner un avion en papier,0,1,0%,47
nakamura plane,0,1,0%,49
avion en papier feuille a4,0,1,0%,50
avion en papier à imprimer,0,1,0%,76